EF|genitive reflexive
fn_HK_NFET|neuter nominative singular
fn_HK_NFET2|neuter nominative singular variant 2
fn_HK_NFFT|neuter nominative plural
fn_HK_ÞFET|neuter accusative singular
fn_HK_ÞFET2|neuter accusative singular variant 2
fn_HK_ÞFFT|neuter accusative plural
fn_HK_ÞGFET|neuter dative singular
fn_HK_ÞGFFT|neuter dative plural
fn_KK_EFET|masculine genitive singular
fn_KK_EFFT|masculine genitive plural
fn_KK_NFET|masculine nominative singular
fn_KK_NFFT|masculine nominative plural
fn_KK_ÞFET|masculine accusative singular
fn_KK_ÞFFT|masculine accusative plural
fn_KK_ÞGFET|masculine dative singular
fn_KK_ÞGFFT|masculine dative plural
fn_KVK_EFET|feminine genitive singular
fn_KVK_EFFT|feminine genitive plural
fn_KVK_NFET|feminine nominative singular
fn_KVK_NFFT|feminine nominative plural
fn_KVK_ÞFET|feminine accusative singular
fn_KVK_ÞFFT|feminine accusative plural
fn_KVK_ÞGFET|feminine dative singular
fn_KVK_ÞGFFT|feminine dative plural
FSB-HK-EFET|positive indefinite neuter genitive singular
FSB-HK-EFFT|positive indefinite neuter genitive plural
FSB-HK-NFET|positive indefinite neuter nominative singular
FSB-HK-NFFT|positive indefinite neuter nominative plural
FSB-HK-ÞFET|positive indefinite neuter accusative singular
FSB-HK-ÞFFT|positive indefinite neuter accusative plural
FSB-HK-ÞGFET|positive indefinite neuter dative singular
FSB-HK-ÞGFET2|positive indefinite neuter dative singular variant 2
FSB-HK-ÞGFFT|positive indefinite neuter dative plural
FSB-HK-ÞGFFT2|positive indefinite neuter dative plural variant 2
FSB-KK-EFET|positive indefinite masculine genitive singular
FSB-KK-EFFT|positive indefinite masculine genitive plural
FSB-KK-NFET|positive indefinite masculine nominative singular
FSB-KK-NFFT|positive indefinite masculine nominative plural
FSB-KK-NFFT2|positive indefinite masculine nominative plural variant 2
FSB-KK-ÞFET|positive indefinite masculine accusative singular
FSB-KK-ÞFET2|positive indefinite masculine accusative singular variant 2
FSB-KK-ÞFFT|positive indefinite masculine accusative plural
FSB-KK-ÞFFT2|positive indefinite masculine accusative plural variant 2
FSB-KK-ÞGFET|positive indefinite masculine dative singular
FSB-KK-ÞGFET2|positive indefinite masculine dative singular variant 2
FSB-KK-ÞGFFT|positive indefinite masculine dative plural
FSB-KK-ÞGFFT2|positive indefinite masculine dative plural variant 2
FSB-KVK-EFET|positive indefinite feminine genitive singular
FSB-KVK-EFFT|positive indefinite feminine genitive plural
FSB-KVK-NFET|positive indefinite feminine nominative singular
FSB-KVK-NFFT|positive indefinite feminine nominative plural
FSB-KVK-NFFT2|positive indefinite feminine nominative plural variant 2
FSB-KVK-ÞFET|positive indefinite feminine accusative singular
FSB-KVK-ÞFET2|positive indefinite feminine accusative singular variant 2
FSB-KVK-ÞFFT|positive indefinite feminine accusative plural
FSB-KVK-ÞFFT2|positive indefinite feminine accusative plural variant 2
FSB-KVK-ÞGFET|positive indefinite feminine dative singular
FSB-KVK-ÞGFFT|positive indefinite feminine dative plural
FSB-KVK-ÞGFFT2|positive indefinite feminine dative plural variant 2
FVB-HK-EFET|positive definite neuter genitive singular
FVB-HK-EFET2|positive definite neuter genitive singular variant 2
FVB-HK-EFFT|positive definite neuter genitive plural
FVB-HK-EFFT2|positive definite neuter genitive plural variant 2
FVB-HK-NFET|positive definite neuter nominative singular
FVB-HK-NFET2|positive definite neuter nominative singular variant 2
FVB-HK-NFFT|positive definite neuter nominative plural
FVB-HK-NFFT2|positive definite neuter nominative plural variant 2
FVB-HK-ÞFET|positive definite neuter accusative singular
FVB-HK-ÞFET2|positive definite neuter accusative singular variant 2
FVB-HK-ÞFFT|positive definite neuter accusative plural
FVB-HK-ÞFFT2|positive definite neuter accusative plural variant 2
FVB-HK-ÞGFET|positive definite neuter dative singular
FVB-HK-ÞGFET2|positive definite neuter dative singular variant 2
FVB-HK-ÞGFFT|positive definite neuter dative plural
FVB-HK-ÞGFFT2|positive definite neuter dative plural variant 2
FVB-KK-EFET|positive definite masculine genitive singular
FVB-KK-EFET2|positive definite masculine genitive singular variant 2
FVB-KK-EFFT|positive definite masculine genitive plural
FVB-KK-EFFT2|positive definite masculine genitive plural variant 2
FVB-KK-NFET|positive definite masculine nominative singular
FVB-KK-NFET2|positive definite masculine nominative singular variant 2
FVB-KK-NFFT|positive definite masculine nominative plural
FVB-KK-NFFT2|positive definite masculine nominative plural variant 2
FVB-KK-ÞFET|positive definite masculine accusative singular
FVB-KK-ÞFET2|positive definite masculine accusative singular variant 2
FVB-KK-ÞFFT|positive definite masculine accusative plural
FVB-KK-ÞFFT2|positive definite masculine accusative plural variant 2
FVB-KK-ÞGFET|positive definite masculine dative singular
FVB-KK-ÞGFET2|positive definite masculine dative singular variant 2
FVB-KK-ÞGFFT|positive definite masculine dative plural
FVB-KK-ÞGFFT2|positive definite masculine dative plural variant 2
FVB-KVK-EFET|positive definite feminine genitive singular
FVB-KVK-EFET2|positive definite feminine genitive singular variant 2
FVB-KVK-EFFT|positive definite feminine genitive plural
FVB-KVK-EFFT2|positive definite feminine genitive plural variant 2
FVB-KVK-NFET|positive definite feminine nominative singular
FVB-KVK-NFET2|positive definite feminine nominative singular variant 2
FVB-KVK-NFFT|positive definite feminine nominative plural
FVB-KVK-NFFT2|positive definite feminine nominative plural variant 2
FVB-KVK-ÞFET|positive definite feminine accusative singular
FVB-KVK-ÞFET2|positive definite feminine accusative singular variant 2
FVB-KVK-ÞFFT|positive definite feminine accusative plural
FVB-KVK-ÞFFT2|positive definite feminine accusative plural variant 2
FVB-KVK-ÞGFET|positive definite feminine dative singular
FVB-KVK-ÞGFET2|positive definite feminine dative singular variant 2
FVB-KVK-ÞGFFT|positive definite feminine dative plural
FVB-KVK-ÞGFFT2|positive definite feminine dative plural variant 2
GM-BH-ET|active imperative singular
GM-BH-ET2|active imperative singular variant 2
GM-BH-FT|active imperative plural
GM-BH-ST|active clipped imperative
GM-BH-ST2|active clipped imperative variant 2
GM-FH-NT-1P-ET|active indicative present-tense 1st person singular
GM-FH-NT-1P-ET2|active indicative present-tense 1st person singular variant 2
GM-FH-NT-1P-FT|active indicative present-tense 1st person plural
GM-FH-NT-1P-FT2|active indicative present-tense 1st person plural variant 2
GM-FH-NT-2P-ET|active indicative present-tense 2nd person singular
GM-FH-NT-2P-ET2|active indicative present-tense 2nd person singular variant 2
GM-FH-NT-2P-FT|active indicative present-tense 2nd person plural
GM-FH-NT-3P-ET|active indicative present-tense 3rd person singular
GM-FH-NT-3P-ET2|active indicative present-tense 3rd person singular variant 2
GM-FH-NT-3P-FT|active indicative present-tense 3rd person plural
GM-FH-ÞT-1P-ET|active indicative past-tense 1st person singular
GM-FH-ÞT-1P-ET2|active indicative past-tense 1st person singular variant 2
GM-FH-ÞT-1P-FT|active indicative past-tense 1st person plural
GM-FH-ÞT-1P-FT2|active indicative past-tense 1st person plural variant 2
GM-FH-ÞT-2P-ET|active indicative past-tense 2nd person singular
GM-FH-ÞT-2P-ET2|active indicative past-tense 2nd person singular variant 2
GM-FH-ÞT-2P-FT|active indicative past-tense 2nd person plural
GM-FH-ÞT-2P-FT2|active indicative past-tense 2nd person plural variant 2
GM-FH-ÞT-3P-ET|active indicative past-tense 3rd person singular
GM-FH-ÞT-3P-ET2|active indicative past-tense 3rd person singular variant 2
GM-FH-ÞT-3P-FT|active indicative past-tense 3rd person plural
GM-FH-ÞT-3P-FT2|active indicative past-tense 3rd person plural variant 2
GM-NH|active infinitive
GM-NH-ÞT|active infinitive past-tense tense
GM-NH-ÞT|active infinitive past-tense variant 2
GM-SAGNB|active supine
GM-SAGNB2|active supine variant 2
GM-VH-NT-1P-ET|active subjunctive present-tense 1st person singular
GM-VH-NT-1P-FT|active subjunctive present-tense 1st person plural
GM-VH-NT-1P-FT2|active subjunctive present-tense 1st person plural variant 2
GM-VH-NT-2P-ET|active subjunctive present-tense 2nd person singular
GM-VH-NT-2P-FT|active subjunctive present-tense 2nd person plural
GM-VH-NT-3P-ET|active subjunctive present-tense 3rd person singular
GM-VH-NT-3P-FT|active subjunctive present-tense 3rd person plural
GM-VH-ÞT-1P-ET|active subjunctive past-tense 1st person singular
