EF|genitive reflexive
MST-HK-ÞFET|comparative neuter accusative singular
MST-HK-ÞFET2|comparative neuter accusative singular variant 2
MST-HK-ÞFFT|comparative neuter accusative plural
MST-HK-ÞFFT2|comparative neuter accusative plural variant 2
MST-HK-ÞGFET|comparative neuter dative singular
MST-HK-ÞGFET2|comparative neuter dative singular variant 2
MST-HK-ÞGFFT|comparative neuter dative plural
MST-HK-ÞGFFT2|comparative neuter dative plural variant 2
MST-KK-EFET|comparative masculine genitive singular
MST-KK-EFET2|comparative masculine genitive singular variant 2
MST-KK-EFFT|comparative masculine genitive plural
MST-KK-EFFT2|comparative masculine genitive plural variant 2
MST-KK-NFET|comparative masculine nominative singular
MST-KK-NFET2|comparative masculine nominative singular variant 2
MST-KK-NFFT|comparative masculine nominative plural
MST-KK-NFFT2|comparative masculine nominative plural variant 2
MST-KK-ÞFET|comparative masculine accusative singular
MST-KK-ÞFET2|comparative masculine accusative singular variant 2
MST-KK-ÞFFT|comparative masculine accusative plural
MST-KK-ÞFFT2|comparative masculine accusative plural variant 2
MST-KK-ÞGFET|comparative masculine dative singular
MST-KK-ÞGFET2|comparative masculine dative singular variant 2
MST-KK-ÞGFFT|comparative masculine dative plural
MST-KK-ÞGFFT2|comparative masculine dative plural variant 2
MST-KVK-EFET|comparative feminine genitive singular
MST-KVK-EFET2|comparative feminine genitive singular variant 2
MST-KVK-EFFT|comparative feminine genitive plural
MST-KVK-EFFT2|comparative feminine genitive plural variant 2
MST-KVK-NFET|comparative feminine nominative singular
MST-KVK-NFET2|comparative feminine nominative singular variant 2
MST-KVK-NFFT|comparative feminine nominative plural
MST-KVK-NFFT2|comparative feminine nominative plural variant 2
MST-KVK-ÞFET|comparative feminine accusative singular
MST-KVK-ÞFET2|comparative feminine accusative singular variant 2
MST-KVK-ÞFFT|comparative feminine accusative plural
MST-KVK-ÞFFT2|comparative feminine accusative plural variant 2
MST-KVK-ÞGFET|comparative feminine dative singular
MST-KVK-ÞGFET2|comparative feminine dative singular variant 2
MST-KVK-ÞGFFT|comparative feminine dative plural
MST-KVK-ÞGFFT2|comparative feminine dative plural variant 2
NFET|nominative singular indefinite
NFET2|nominative singular indefinite variant 2
NFET3|nominative singular indefinite variant 3
NFETgr|nominative singular definite
NFETgr2|nominative singular definite variant 2
NFETgr3|nominative singular definite variant 3
NFFT|nominative plural indefinite
NFFT2|nominative plural indefinite variant 2
NFFT3|nominative plural indefinite variant 3
NFFTgr|nominative plural definite
NFFTgr2|nominative plural definite variant 2
NFFTgr3|nominative plural definite variant 3
OBEYGJANLEGT|uninflected
OP-EF-GM-FH-NT-1P-ET|impersonal genitive-subject active indicative present-tense 1st person singular
OP-EF-GM-FH-NT-1P-FT|impersonal genitive-subject active indicative present-tense 1st person plural
OP-EF-GM-FH-NT-2P-ET|impersonal genitive-subject active indicative present-tense 2nd person singular
OP-EF-GM-FH-NT-2P-FT|impersonal genitive-subject active indicative present-tense 2nd person plural
OP-EF-GM-FH-NT-3P-ET|impersonal genitive-subject active indicative present-tense 3rd person singular
OP-EF-GM-FH-NT-3P-FT|impersonal genitive-subject active indicative present-tense 3rd person plural
OP-EF-GM-FH-ÞT-1P-ET|impersonal genitive-subject active indicative past-tense 1st person singular
OP-EF-GM-FH-ÞT-1P-FT|impersonal genitive-subject active indicative past-tense 1st person plural
OP-EF-GM-FH-ÞT-2P-ET|impersonal genitive-subject active indicative past-tense 2nd person singular
OP-EF-GM-FH-ÞT-2P-FT|impersonal genitive-subject active indicative past-tense 2nd person plural
OP-EF-GM-FH-ÞT-3P-ET|impersonal genitive-subject active indicative past-tense 3rd person singular
OP-EF-GM-FH-ÞT-3P-FT|impersonal genitive-subject active indicative past-tense 3rd person plural
OP-EF-GM-VH-NT-1P-ET|impersonal genitive-subject active subjunctive present-tense 1st person singular
OP-EF-GM-VH-NT-1P-FT|impersonal genitive-subject active subjunctive present-tense 1st person plural
OP-EF-GM-VH-NT-2P-ET|impersonal genitive-subject active subjunctive present-tense 2nd person singular
OP-EF-GM-VH-NT-2P-FT|impersonal genitive-subject active subjunctive present-tense 2nd person plural
OP-EF-GM-VH-NT-3P-ET|impersonal genitive-subject active subjunctive present-tense 3rd person singular
OP-EF-GM-VH-NT-3P-FT|impersonal genitive-subject active subjunctive present-tense 3rd person plural
OP-EF-GM-VH-ÞT-1P-ET|impersonal genitive-subject active subjunctive past-tense 1st person singular
OP-EF-GM-VH-ÞT-1P-FT|impersonal genitive-subject active subjunctive past-tense 1st person plural
OP-EF-GM-VH-ÞT-2P-ET|impersonal genitive-subject active subjunctive past-tense 2nd person singular
OP-EF-GM-VH-ÞT-2P-FT|impersonal genitive-subject active subjunctive past-tense 2nd person plural
OP-EF-GM-VH-ÞT-3P-ET|impersonal genitive-subject active subjunctive past-tense 3rd person singular
OP-EF-GM-VH-ÞT-3P-FT|impersonal genitive-subject active subjunctive past-tense 3rd person plural
OP-það-GM-FH-NT-3P-ET|impersonal dummy-subject active indicative present-tense 3rd person singular
OP-það-GM-FH-ÞT-3P-ET|impersonal dummy-subject active indicative past-tense 3rd person singular
OP-það-GM-VH-NT-3P-ET|impersonal dummy-subject active subjunctive present-tense 3rd person singular
OP-það-GM-VH-ÞT-3P-ET|impersonal dummy-subject active subjunctive past-tense 3rd person singular
OP-það-MM-FH-NT-3P-ET|impersonal dummy-subject mediopassive indicative present-tense 3rd person singular
OP-það-MM-FH-ÞT-3P-ET|impersonal dummy-subject mediopassive indicative past-tense 3rd person singular
OP-það-MM-VH-NT-3P-ET|impersonal dummy-subject mediopassive subjunctive present-tense 3rd person singular
OP-það-MM-VH-ÞT-3P-ET|impersonal dummy-subject mediopassive subjunctive past-tense 3rd person singular
OP-ÞF-GM-FH-NT-1P-ET|impersonal accusative-subject active indicative present-tense 1st person singular
OP-ÞF-GM-FH-NT-1P-FT|impersonal accusative-subject active indicative present-tense 1st person plural
OP-ÞF-GM-FH-NT-2P-ET|impersonal accusative-subject active indicative present-tense 2nd person singular
OP-ÞF-GM-FH-NT-2P-FT|impersonal accusative-subject active indicative present-tense 2nd person plural
OP-ÞF-GM-FH-NT-3P-ET|impersonal accusative-subject active indicative present-tense 3rd person singular
OP-ÞF-GM-FH-NT-3P-FT|impersonal accusative-subject active indicative present-tense 3rd person plural
OP-ÞF-GM-FH-ÞT-1P-ET|impersonal accusative-subject active indicative past-tense 1st person singular
OP-ÞF-GM-FH-ÞT-1P-FT|impersonal accusative-subject active indicative past-tense 1st person plural
OP-ÞF-GM-FH-ÞT-2P-ET|impersonal accusative-subject active indicative past-tense 2nd person singular
OP-ÞF-GM-FH-ÞT-2P-FT|impersonal accusative-subject active indicative past-tense 2nd person plural
OP-ÞF-GM-FH-ÞT-3P-ET|impersonal accusative-subject active indicative past-tense 3rd person singular
OP-ÞF-GM-FH-ÞT-3P-FT|impersonal accusative-subject active indicative past-tense 3rd person plural
OP-ÞF-GM-VH-NT-1P-ET|impersonal accusative-subject active subjunctive present-tense 1st person singular
OP-ÞF-GM-VH-NT-1P-FT|impersonal accusative-subject active subjunctive present-tense 1st person plural
OP-ÞF-GM-VH-NT-2P-ET|impersonal accusative-subject active subjunctive present-tense 2nd person singular
OP-ÞF-GM-VH-NT-2P-FT|impersonal accusative-subject active subjunctive present-tense 2nd person plural
OP-ÞF-GM-VH-NT-3P-ET|impersonal accusative-subject active subjunctive present-tense 3rd person singular
OP-ÞF-GM-VH-NT-3P-FT|impersonal accusative-subject active subjunctive present-tense 3rd person plural
OP-ÞF-GM-VH-ÞT-1P-ET|impersonal accusative-subject active subjunctive past-tense 1st person singular
OP-ÞF-GM-VH-ÞT-1P-FT|impersonal accusative-subject active subjunctive past-tense 1st person plural
OP-ÞF-GM-VH-ÞT-2P-ET|impersonal accusative-subject active subjunctive past-tense 2nd person singular
OP-ÞF-GM-VH-ÞT-2P-FT|impersonal accusative-subject active subjunctive past-tense 2nd person plural
OP-ÞF-GM-VH-ÞT-3P-ET|impersonal accusative-subject active subjunctive past-tense 3rd person singular
OP-ÞF-GM-VH-ÞT-3P-FT|impersonal accusative-subject active subjunctive past-tense 3rd person plural
OP-ÞGF-GM-FH-NT-1P-ET|impersonal dative-subject active indicative present-tense 1st person singular
OP-ÞGF-GM-FH-NT-1P-FT|impersonal dative-subject active indicative present-tense 1st person plural
OP-ÞGF-GM-FH-NT-2P-ET|impersonal dative-subject active indicative present-tense 2nd person singular
OP-ÞGF-GM-FH-NT-2P-FT|impersonal dative-subject active indicative present-tense 2nd person plural
OP-ÞGF-GM-FH-NT-3P-ET|impersonal dative-subject active indicative present-tense 3rd person singular
OP-ÞGF-GM-FH-NT-3P-FT|impersonal dative-subject active indicative present-tense 3rd person plural
OP-ÞGF-GM-FH-ÞT-1P-ET|impersonal dative-subject active indicative past-tense 1st person singular
OP-ÞGF-GM-FH-ÞT-1P-FT|impersonal dative-subject active indicative past-tense 1st person plural
OP-ÞGF-GM-FH-ÞT-2P-ET|impersonal dative-subject active indicative past-tense 2nd person singular
OP-ÞGF-GM-FH-ÞT-2P-FT|impersonal dative-subject active indicative past-tense 2nd person plural
OP-ÞGF-GM-FH-ÞT-3P-ET|impersonal dative-subject active indicative past-tense 3rd person singular
OP-ÞGF-GM-FH-ÞT-3P-FT|impersonal dative-subject active indicative past-tense 3rd person plural
OP-ÞGF-GM-VH-NT-1P-ET|impersonal dative-subject active subjunctive present-tense 1st person singular
OP-ÞGF-GM-VH-NT-1P-FT|impersonal dative-subject active subjunctive present-tense 1st person plural
OP-ÞGF-GM-VH-NT-2P-ET|impersonal dative-subject active subjunctive present-tense 2nd person singular
OP-ÞGF-GM-VH-NT-2P-FT|impersonal dative-subject active subjunctive present-tense 2nd person plural
OP-ÞGF-GM-VH-NT-3P-ET|impersonal dative-subject active subjunctive present-tense 3rd person singular
OP-ÞGF-GM-VH-NT-3P-FT|impersonal dative-subject active subjunctive present-tense 3rd person plural
OP-ÞGF-GM-VH-ÞT-1P-ET|impersonal dative-subject active subjunctive past-tense 1st person singular
OP-ÞGF-GM-VH-ÞT-1P-FT|impersonal dative-subject active subjunctive past-tense 1st person plural
OP-ÞGF-GM-VH-ÞT-2P-ET|impersonal dative-subject active subjunctive past-tense 2nd person singular
OP-ÞGF-GM-VH-ÞT-2P-FT|impersonal dative-subject active subjunctive past-tense 2nd person plural
OP-ÞGF-GM-VH-ÞT-3P-ET|impersonal dative-subject active subjunctive past-tense 3rd person singular
OP-ÞGF-GM-VH-ÞT-3P-FT|impersonal dative-subject active subjunctive past-tense 3rd person plural
OP-ÞGF-MM-FH-NT-1P-ET|impersonal dative-subject middle indicative present-tense 1st person singular
OP-ÞGF-MM-FH-NT-1P-FT|impersonal dative-subject middle indicative present-tense 1st person plural
OP-ÞGF-MM-FH-NT-2P-ET|impersonal dative-subject middle indicative present-tense 2nd person singular
OP-ÞGF-MM-FH-NT-2P-FT|impersonal dative-subject middle indicative present-tense 2nd person plural
OP-ÞGF-MM-FH-NT-3P-ET|impersonal dative-subject middle indicative present-tense 3rd person singular
OP-ÞGF-MM-FH-NT-3P-FT|impersonal dative-subject middle indicative present-tense 3rd person plural
OP-ÞGF-MM-FH-ÞT-1P-ET|impersonal dative-subject middle indicative past-tense 1st person singular
OP-ÞGF-MM-FH-ÞT-1P-FT|impersonal dative-subject middle indicative past-tense 1st person plural
OP-ÞGF-MM-FH-ÞT-2P-ET|impersonal dative-subject middle indicative past-tense 2nd person singular
OP-ÞGF-MM-FH-ÞT-2P-FT|impersonal dative-subject middle indicative past-tense 2nd person plural
OP-ÞGF-MM-FH-ÞT-3P-ET|impersonal dative-subject middle indicative past-tense 3rd person singular
OP-ÞGF-MM-FH-ÞT-3P-FT|impersonal dative-subject middle indicative past-tense 3rd person plural
OP-ÞGF-MM-VH-NT-1P-ET|impersonal dative-subject middle subjunctive present-tense 1st person singular
OP-ÞGF-MM-VH-NT-1P-FT|impersonal dative-subject middle subjunctive present-tense 1st person plural
OP-ÞGF-MM-VH-NT-2P-ET|impersonal dative-subject middle subjunctive present-tense 2nd person singular
OP-ÞGF-MM-VH-NT-2P-FT|impersonal dative-subject middle subjunctive present-tense 2nd person plural
OP-ÞGF-MM-VH-NT-3P-ET|impersonal dative-subject middle subjunctive present-tense 3rd person singular
OP-ÞGF-MM-VH-NT-3P-FT|impersonal dative-subject middle subjunctive present-tense 3rd person plural
OP-ÞGF-MM-VH-ÞT-1P-ET|impersonal dative-subject middle subjunctive past-tense 1st person plural
OP-ÞGF-MM-VH-ÞT-1P-FT|impersonal dative-subject middle subjunctive past-tense 1st person plural
OP-ÞGF-MM-VH-ÞT-2P-ET|impersonal dative-subject middle subjunctive past-tense 2nd person singular
OP-ÞGF-MM-VH-ÞT-2P-FT|impersonal dative-subject middle subjunctive past-tense 2nd person plural
OP-ÞGF-MM-VH-ÞT-3P-ET|impersonal dative-subject middle subjunctive past-tense 3rd person singular
OP-ÞGF-MM-VH-ÞT-3P-FT|impersonal dative-subject middle subjunctive past-tense 3rd person plural
OP-EF-GM-FH-NT-1P-ET2|impersonal genitive-subject active indicative present-tense 1st person singular variant 2
OP-EF-GM-FH-NT-1P-FT2|impersonal genitive-subject active indicative present-tense 1st person plural variant 2
OP-EF-GM-FH-NT-2P-ET2|impersonal genitive-subject active indicative present-tense 2nd person singular variant 2
OP-EF-GM-FH-NT-2P-FT2|impersonal genitive-subject active indicative present-tense 2nd person plural variant 2
OP-EF-GM-FH-NT-3P-ET2|impersonal genitive-subject active indicative present-tense 3rd person singular variant 2
OP-EF-GM-FH-NT-3P-FT2|impersonal genitive-subject active indicative present-tense 3rd person plural variant 2
OP-EF-GM-FH-ÞT-1P-ET2|impersonal genitive-subject active indicative past-tense 1st person singular variant 2
OP-EF-GM-FH-ÞT-1P-FT2|impersonal genitive-subject active indicative past-tense 1st person plural variant 2
OP-EF-GM-FH-ÞT-2P-ET2|impersonal genitive-subject active indicative past-tense 2nd person singular variant 2
OP-EF-GM-FH-ÞT-2P-FT2|impersonal genitive-subject active indicative past-tense 2nd person plural variant 2
OP-EF-GM-FH-ÞT-3P-ET2|impersonal genitive-subject active indicative past-tense 3rd person singular variant 2
OP-EF-GM-FH-ÞT-3P-FT2|impersonal genitive-subject active indicative past-tense 3rd person plural variant 2
OP-EF-GM-VH-NT-1P-ET2|impersonal genitive-subject active subjunctive present-tense 1st person singular variant 2
OP-EF-GM-VH-NT-1P-FT2|impersonal genitive-subject active subjunctive present-tense 1st person plural variant 2
OP-EF-GM-VH-NT-2P-ET2|impersonal genitive-subject active subjunctive present-tense 2nd person singular variant 2
OP-EF-GM-VH-NT-2P-FT2|impersonal genitive-subject active subjunctive present-tense 2nd person plural variant 2
OP-EF-GM-VH-NT-3P-ET2|impersonal genitive-subject active subjunctive present-tense 3rd person singular variant 2
OP-EF-GM-VH-NT-3P-FT2|impersonal genitive-subject active subjunctive present-tense 3rd person plural variant 2
OP-EF-GM-VH-ÞT-1P-ET2|impersonal genitive-subject active subjunctive past-tense 1st person singular variant 2
OP-EF-GM-VH-ÞT-1P-FT2|impersonal genitive-subject active subjunctive past-tense 1st person plural variant 2
OP-EF-GM-VH-ÞT-2P-ET2|impersonal genitive-subject active subjunctive past-tense 2nd person singular variant 2
OP-EF-GM-VH-ÞT-2P-FT2|impersonal genitive-subject active subjunctive past-tense 2nd person plural variant 2
OP-EF-GM-VH-ÞT-3P-ET2|impersonal genitive-subject active subjunctive past-tense 3rd person singular variant 2
OP-EF-GM-VH-ÞT-3P-FT2|impersonal genitive-subject active subjunctive past-tense 3rd person plural variant 2
OP-það-GM-FH-NT-3P-ET2|impersonal dummy-subject active indicative present-tense 3rd person singular variant 2
OP-það-GM-FH-ÞT-3P-ET2|impersonal dummy-subject active indicative past-tense 3rd person singular variant 2
OP-það-GM-VH-NT-3P-ET2|impersonal dummy-subject active subjunctive present-tense 3rd person singular variant 2
OP-það-GM-VH-ÞT-3P-ET2|impersonal dummy-subject active subjunctive past-tense 3rd person singular variant 2
OP-það-MM-FH-NT-3P-ET2|impersonal dummy-subject mediopassive indicative present-tense 3rd person singular variant 2
OP-það-MM-FH-ÞT-3P-ET2|impersonal dummy-subject mediopassive indicative past-tense 3rd person singular variant 2
OP-það-MM-VH-NT-3P-ET2|impersonal dummy-subject mediopassive subjunctive present-tense 3rd person singular variant 2
OP-það-MM-VH-ÞT-3P-ET2|impersonal dummy-subject mediopassive subjunctive past-tense 3rd person singular variant 2
OP-ÞF-GM-FH-NT-1P-ET2|impersonal accusative-subject active indicative present-tense 1st person singular variant 2
OP-ÞF-GM-FH-NT-1P-FT2|impersonal accusative-subject active indicative present-tense 1st person plural variant 2
OP-ÞF-GM-FH-NT-2P-ET2|impersonal accusative-subject active indicative present-tense 2nd person singular variant 2
OP-ÞF-GM-FH-NT-2P-FT2|impersonal accusative-subject active indicative present-tense 2nd person plural variant 2
OP-ÞF-GM-FH-NT-3P-ET2|impersonal accusative-subject active indicative present-tense 3rd person singular variant 2
OP-ÞF-GM-FH-NT-3P-FT2|impersonal accusative-subject active indicative present-tense 3rd person plural variant 2
OP-ÞF-GM-FH-ÞT-1P-ET2|impersonal accusative-subject active indicative past-tense 1st person singular variant 2
OP-ÞF-GM-FH-ÞT-1P-FT2|impersonal accusative-subject active indicative past-tense 1st person plural variant 2
OP-ÞF-GM-FH-ÞT-2P-ET2|impersonal accusative-subject active indicative past-tense 2nd person singular variant 2
OP-ÞF-GM-FH-ÞT-2P-FT2|impersonal accusative-subject active indicative past-tense 2nd person plural variant 2
OP-ÞF-GM-FH-ÞT-3P-ET2|impersonal accusative-subject active indicative past-tense 3rd person singular variant 2
OP-ÞF-GM-FH-ÞT-3P-FT2|impersonal accusative-subject active indicative past-tense 3rd person plural variant 2
OP-ÞF-GM-VH-NT-1P-ET2|impersonal accusative-subject active subjunctive present-tense 1st person singular variant 2
OP-ÞF-GM-VH-NT-1P-FT2|impersonal accusative-subject active subjunctive present-tense 1st person plural variant 2
OP-ÞF-GM-VH-NT-2P-ET2|impersonal accusative-subject active subjunctive present-tense 2nd person singular variant 2
OP-ÞF-GM-VH-NT-2P-FT2|impersonal accusative-subject active subjunctive present-tense 2nd person plural variant 2
OP-ÞF-GM-VH-NT-3P-ET2|impersonal accusative-subject active subjunctive present-tense 3rd person singular variant 2
OP-ÞF-GM-VH-NT-3P-FT2|impersonal accusative-subject active subjunctive present-tense 3rd person plural variant 2
OP-ÞF-GM-VH-ÞT-1P-ET2|impersonal accusative-subject active subjunctive past-tense 1st person singular variant 2
OP-ÞF-GM-VH-ÞT-1P-FT2|impersonal accusative-subject active subjunctive past-tense 1st person plural variant 2
OP-ÞF-GM-VH-ÞT-2P-ET2|impersonal accusative-subject active subjunctive past-tense 2nd person singular variant 2
OP-ÞF-GM-VH-ÞT-2P-FT2|impersonal accusative-subject active subjunctive past-tense 2nd person plural variant 2
OP-ÞF-GM-VH-ÞT-3P-ET2|impersonal accusative-subject active subjunctive past-tense 3rd person singular variant 2
OP-ÞF-GM-VH-ÞT-3P-FT2|impersonal accusative-subject active subjunctive past-tense 3rd person plural variant 2
OP-ÞGF-GM-FH-NT-1P-ET2|impersonal dative-subject active indicative present-tense 1st person singular variant 2
OP-ÞGF-GM-FH-NT-1P-FT2|impersonal dative-subject active indicative present-tense 1st person plural variant 2
OP-ÞGF-GM-FH-NT-2P-ET2|impersonal dative-subject active indicative present-tense 2nd person singular variant 2
OP-ÞGF-GM-FH-NT-2P-FT2|impersonal dative-subject active indicative present-tense 2nd person plural variant 2
OP-ÞGF-GM-FH-NT-3P-ET2|impersonal dative-subject active indicative present-tense 3rd person singular variant 2
OP-ÞGF-GM-FH-NT-3P-FT2|impersonal dative-subject active indicative present-tense 3rd person plural variant 2
OP-ÞGF-GM-FH-ÞT-1P-ET2|impersonal dative-subject active indicative past-tense 1st person singular variant 2
OP-ÞGF-GM-FH-ÞT-1P-FT2|impersonal dative-subject active indicative past-tense 1st person plural variant 2
OP-ÞGF-GM-FH-ÞT-2P-ET2|impersonal dative-subject active indicative past-tense 2nd person singular variant 2
OP-ÞGF-GM-FH-ÞT-2P-FT2|impersonal dative-subject active indicative past-tense 2nd person plural variant 2
OP-ÞGF-GM-FH-ÞT-3P-ET2|impersonal dative-subject active indicative past-tense 3rd person singular variant 2
OP-ÞGF-GM-FH-ÞT-3P-FT2|impersonal dative-subject active indicative past-tense 3rd person plural variant 2
OP-ÞGF-GM-VH-NT-1P-ET2|impersonal dative-subject active subjunctive present-tense 1st person singular variant 2
OP-ÞGF-GM-VH-NT-1P-FT2|impersonal dative-subject active subjunctive present-tense 1st person plural variant 2
OP-ÞGF-GM-VH-NT-2P-ET2|impersonal dative-subject active subjunctive present-tense 2nd person singular variant 2
OP-ÞGF-GM-VH-NT-2P-FT2|impersonal dative-subject active subjunctive present-tense 2nd person plural variant 2
OP-ÞGF-GM-VH-NT-3P-ET2|impersonal dative-subject active subjunctive present-tense 3rd person singular variant 2
OP-ÞGF-GM-VH-NT-3P-FT2|impersonal dative-subject active subjunctive present-tense 3rd person plural variant 2
OP-ÞGF-GM-VH-ÞT-1P-ET2|impersonal dative-subject active subjunctive past-tense 1st person singular variant 2
OP-ÞGF-GM-VH-ÞT-1P-FT2|impersonal dative-subject active subjunctive past-tense 1st person plural variant 2
OP-ÞGF-GM-VH-ÞT-2P-ET2|impersonal dative-subject active subjunctive past-tense 2nd person singular variant 2
OP-ÞGF-GM-VH-ÞT-2P-FT2|impersonal dative-subject active subjunctive past-tense 2nd person plural variant 2
OP-ÞGF-GM-VH-ÞT-3P-ET2|impersonal dative-subject active subjunctive past-tense 3rd person singular variant 2
OP-ÞGF-GM-VH-ÞT-3P-FT2|impersonal dative-subject active subjunctive past-tense 3rd person plural variant 2
OP-ÞGF-MM-FH-NT-1P-ET2|impersonal dative-subject middle indicative present-tense 1st person singular variant 2
OP-ÞGF-MM-FH-NT-1P-FT2|impersonal dative-subject middle indicative present-tense 1st person plural variant 2
OP-ÞGF-MM-FH-NT-2P-ET2|impersonal dative-subject middle indicative present-tense 2nd person singular variant 2
OP-ÞGF-MM-FH-NT-2P-FT2|impersonal dative-subject middle indicative present-tense 2nd person plural variant 2
OP-ÞGF-MM-FH-NT-3P-ET2|impersonal dative-subject middle indicative present-tense 3rd person singular variant 2
OP-ÞGF-MM-FH-NT-3P-FT2|impersonal dative-subject middle indicative present-tense 3rd person plural variant 2
OP-ÞGF-MM-FH-ÞT-1P-ET2|impersonal dative-subject middle indicative past-tense 1st person singular variant 2
OP-ÞGF-MM-FH-ÞT-1P-FT2|impersonal dative-subject middle indicative past-tense 1st person plural variant 2
OP-ÞGF-MM-FH-ÞT-2P-ET2|impersonal dative-subject middle indicative past-tense 2nd person singular variant 2
OP-ÞGF-MM-FH-ÞT-2P-FT2|impersonal dative-subject middle indicative past-tense 2nd person plural variant 2
OP-ÞGF-MM-FH-ÞT-3P-ET2|impersonal dative-subject middle indicative past-tense 3rd person singular variant 2
OP-ÞGF-MM-FH-ÞT-3P-FT2|impersonal dative-subject middle indicative past-tense 3rd person plural variant 2
OP-ÞGF-MM-VH-NT-1P-ET2|impersonal dative-subject middle subjunctive present-tense 1st person singular variant 2
OP-ÞGF-MM-VH-NT-1P-FT2|impersonal dative-subject middle subjunctive present-tense 1st person plural variant 2
OP-ÞGF-MM-VH-NT-2P-ET2|impersonal dative-subject middle subjunctive present-tense 2nd person singular variant 2
OP-ÞGF-MM-VH-NT-2P-FT2|impersonal dative-subject middle subjunctive present-tense 2nd person plural variant 2
OP-ÞGF-MM-VH-NT-3P-ET2|impersonal dative-subject middle subjunctive present-tense 3rd person singular variant 2
OP-ÞGF-MM-VH-NT-3P-FT2|impersonal dative-subject middle subjunctive present-tense 3rd person plural variant 2
OP-ÞGF-MM-VH-ÞT-1P-ET2|impersonal dative-subject middle subjunctive past-tense 1st person plural variant 2
OP-ÞGF-MM-VH-ÞT-1P-FT2|impersonal dative-subject middle subjunctive past-tense 1st person plural variant 2
OP-ÞGF-MM-VH-ÞT-2P-ET2|impersonal dative-subject middle subjunctive past-tense 2nd person singular variant 2
OP-ÞGF-MM-VH-ÞT-2P-FT2|impersonal dative-subject middle subjunctive past-tense 2nd person plural variant 2
OP-ÞGF-MM-VH-ÞT-3P-ET2|impersonal dative-subject middle subjunctive past-tense 3rd person singular variant 2
OP-ÞGF-MM-VH-ÞT-3P-FT2|impersonal dative-subject middle subjunctive past-tense 3rd person plural variant 2
OP-EF-GM-FH-NT-1P-ET3|impersonal genitive-subject active indicative present-tense 1st person singular variant 3
OP-EF-GM-FH-NT-1P-FT3|impersonal genitive-subject active indicative present-tense 1st person plural variant 3
OP-EF-GM-FH-NT-2P-ET3|impersonal genitive-subject active indicative present-tense 2nd person singular variant 3
OP-EF-GM-FH-NT-2P-FT3|impersonal genitive-subject active indicative present-tense 2nd person plural variant 3
OP-EF-GM-FH-NT-3P-ET3|impersonal genitive-subject active indicative present-tense 3rd person singular variant 3
OP-EF-GM-FH-NT-3P-FT3|impersonal genitive-subject active indicative present-tense 3rd person plural variant 3
OP-EF-GM-FH-ÞT-1P-ET3|impersonal genitive-subject active indicative past-tense 1st person singular variant 3
OP-EF-GM-FH-ÞT-1P-FT3|impersonal genitive-subject active indicative past-tense 1st person plural variant 3
OP-EF-GM-FH-ÞT-2P-ET3|impersonal genitive-subject active indicative past-tense 2nd person singular variant 3
OP-EF-GM-FH-ÞT-2P-FT3|impersonal genitive-subject active indicative past-tense 2nd person plural variant 3
OP-EF-GM-FH-ÞT-3P-ET3|impersonal genitive-subject active indicative past-tense 3rd person singular variant 3
OP-EF-GM-FH-ÞT-3P-FT3|impersonal genitive-subject active indicative past-tense 3rd person plural variant 3
OP-EF-GM-VH-NT-1P-ET3|impersonal genitive-subject active subjunctive present-tense 1st person singular variant 3
OP-EF-GM-VH-NT-1P-FT3|impersonal genitive-subject active subjunctive present-tense 1st person plural variant 3
OP-EF-GM-VH-NT-2P-ET3|impersonal genitive-subject active subjunctive present-tense 2nd person singular variant 3
OP-EF-GM-VH-NT-2P-FT3|impersonal genitive-subject active subjunctive present-tense 2nd person plural variant 3
OP-EF-GM-VH-NT-3P-ET3|impersonal genitive-subject active subjunctive present-tense 3rd person singular variant 3
OP-EF-GM-VH-NT-3P-FT3|impersonal genitive-subject active subjunctive present-tense 3rd person plural variant 3
OP-EF-GM-VH-ÞT-1P-ET3|impersonal genitive-subject active subjunctive past-tense 1st person singular variant 3
OP-EF-GM-VH-ÞT-1P-FT3|impersonal genitive-subject active subjunctive past-tense 1st person plural variant 3
OP-EF-GM-VH-ÞT-2P-ET3|impersonal genitive-subject active subjunctive past-tense 2nd person singular variant 3
OP-EF-GM-VH-ÞT-2P-FT3|impersonal genitive-subject active subjunctive past-tense 2nd person plural variant 3
OP-EF-GM-VH-ÞT-3P-ET3|impersonal genitive-subject active subjunctive past-tense 3rd person singular variant 3
OP-EF-GM-VH-ÞT-3P-FT3|impersonal genitive-subject active subjunctive past-tense 3rd person plural variant 3
OP-það-GM-FH-NT-3P-ET3|impersonal dummy-subject active indicative present-tense 3rd person singular variant 3
OP-það-GM-FH-ÞT-3P-ET3|impersonal dummy-subject active indicative past-tense 3rd person singular variant 3
OP-það-GM-VH-NT-3P-ET3|impersonal dummy-subject active subjunctive present-tense 3rd person singular variant 3
OP-það-GM-VH-ÞT-3P-ET3|impersonal dummy-subject active subjunctive past-tense 3rd person singular variant 3
OP-það-MM-FH-NT-3P-ET3|impersonal dummy-subject mediopassive indicative present-tense 3rd person singular variant 3
OP-það-MM-FH-ÞT-3P-ET3|impersonal dummy-subject mediopassive indicative past-tense 3rd person singular variant 3
OP-það-MM-VH-NT-3P-ET3|impersonal dummy-subject mediopassive subjunctive present-tense 3rd person singular variant 3
